Subject,Predicate,Object
Sulfur,subClassOf,ChemicalRawMaterial
SeawaterTransportation,type,Class
IonAbsorptDeposit,comment,风化壳淋积型稀土矿通常位于地壳表层，形成于风化和淋积作用的过程中，富含稀土元素。
Lithology,hasChineseName,岩性
Detergent,source,GCMDsciencekeywords_v16.0
Animal,comment,动物是多细胞生物，通常具有复杂的组织和器官系统，包括呼吸、消化和运动等功能。它们属于真核生物，属于动物界，具有广泛的多样性，包括从微小的昆虫到庞大的哺乳动物。动物通常是异养生物，依赖于其他生物或有机物来获取能量。
SlimeMold,subClassOf,Protomycetes
GroundwaterInfiltration,comment,地下水渗透是指地下水通过土壤或岩石中的孔隙或裂缝渗入地下。这是地下水运动的关键过程之一。
TemperatureUnit,hasChineseName,温度单位
IceForm,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
LoessAction,hasChineseName,黄土作用
WindEnergy,subClassOf,EconomicEnergy
FluvialGeomorphology,hasChineseName,流水地貌
PolarResources,type,Class
BarrierSpit,subClassOf,Dune
SoilPhysics,type,Class
AtmosphericRadiationType,hasChineseName,大气辐射类型
BergerangProcess,subClassOf,N9e43dfb5ab56429893037f41fee69bd8
SurfaceHumidityIndex,comment,表面湿度指数是描述空气中水蒸气含量的指数，通常与湿度参数相关。它可以用于评估大气的湿润程度，对于天气预报和气象研究具有重要意义。
Ashes,hasChineseName,灰烬
N3bb4b36de1cd41239712fbb1f863401c,onProperty,hasPossibleCause
MineralPhysicalProperties,type,Class
AtmosphericIon,type,Class
SubmarinePlateMovement,subClassOf,N32a247f60b5f420ea01c9dad5a3f169e
MineralRadioactivity,source,GCMDsciencekeywords_v16.0
EnergyConservationAndEmissionReduction,hasChineseName,节能减排
FlowTransport,type,Class
VegetationIndex,hasChineseName,植被指数
PrecipitationWithin6Hours,subClassOf,HourlyPrecipitation
ForestIndicatorPlant,type,Class
AudioFrequency,subClassOf,SoundWaveTransmission
OrganicCompound,source,维基百科
GeomagneticDipAngle,source,GCMDsciencekeywords_v16.0、《地球系统科学数据集成共享研究：标准视角》
SoilAndWaterLoss,subClassOf,GeologicHazard
TidalAmplitude,source,《地理辞典》
IceSnowPhysicalProperties,source,GCMDsciencekeywords_v16.0、《地理辞典》、SWEET、《地球系统科学数据资源体系研究》、维基百科、《地球系统研究与科学数据》
WaveAction,altLabel,海浪作用
AverageTemperature,type,Class
InlandLake,hasChineseName,内陆湖
PressureGradientForce,type,Class
AirPollutants,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地理辞典》	《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
SoilDistribution,type,Class
MineDrainage,type,Class
KeyUrbanClusters,source,《地球系统科学数据资源体系研究》
AutotrophicBacteria,source,《地理辞典》
Stress,subClassOf,GeologicalStructure
RiverEcosystem,type,Class
FluvialProcess,type,Class
RotatingRadiometer,source,维基百科
EcologicalStability,hasChineseName,生态稳定性
AtmosphericConvergence,type,Class
SedimentaryMicrofacies,source,《地球系统科学数据资源体系研究》
Nb6999d1436464464a6a85d140c37e830,type,Restriction
IntrusiveRock,source,《地理辞典》
N15f83bcbdeab40dbb30ba3c019202c65,type,Restriction
VirusType,comment,病毒主要分为两大类型：DNA病毒和RNA病毒，根据其遗传物质的类型来分类。
Chromium,source,《地理辞典》
CoolingEffectFog,source,维基百科
EnvironmentalGovernancePractice,subClassOf,EnvironmentalGovernance
SoilFactor,comment,土壤的性质如质地、pH值、养分含量等对植物的生长和生态系统的结构起着关键作用。不同类型的土壤会导致不同的植被类型和土壤生物群落。
RockElements/MineralElements,source,GCMDsciencekeywords_v16.0、《地球系统研究与科学数据》
Ne6cfeee2d24341fb832221efb211ffe3,type,Restriction
ThunderShower,comment,雷阵雨是伴随着雷声和闪电的降水。它通常在气温上升和大气不稳定时发生，常见于夏季或潮湿的气候。
LongwaveRadiation,subClassOf,AtmosphericRadiationType
MolybdenumIsotope,source,《地球系统科学数据资源体系研究》
LakeClassification,type,Class
OceanRunoff,type,Class
MassCommunication,type,Class
Delta,source,GCMDsciencekeywords_v16.0
SeaBreezeHorizontalMotion,subClassOf,SeaBreezeMotionType
Diatom,type,Class
ThermalEmission,source,维基百科
GlacialRunoff,source,GCMDsciencekeywords_v16.0
ForestFuel,type,Class
AnimalDiversity,type,Class
SeaWaterDissolvedGas,type,Class
GroundwaterMineralizationDegree,source,维基百科
Amphibians,source,《地理辞典》、《地球系统科学数据集成共享研究：标准视角》、维基百科
PublicUtilities,source,《地理辞典》
PrecipitationProbability,hasChineseName,降水概率
SnowfallDisaster,hasChineseName,降雪灾害
BiologicalAction,subClassOf,N20f57ab8c21742158d7fe3a8923b8b23
LiquidIceCoreConductivity,type,Class
ResourceType,subClassOf,ResourceEnvironment
TidalEnergy,subClassOf,MarineEnergy
SeaLevelRise,source,GCMDsciencekeywords_v16.0
SurfaceWaterBasin,subClassOf,SurfaceWaterHydrologicalCharacteristics
WaveNumberRatio,type,Class
SurfaceWaterBasinLength,subClassOf,SurfaceWaterBasin
RockGlacier,subClassOf,GlacierType
WaterIonConcentration,subClassOf,WaterQualityChemicalDetectionIndicator
OceanHeatConductionFlux,subClassOf,OceanHeatExchange
SeaPotentialTemperature,hasChineseName,海水潜在温度
SoilQualityMeasurement,source,GCMDsciencekeywords_v16.0、《地球系统研究与科学数据》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
MineralGeographicDistribution,hasChineseName,矿物地理分布
HalogenatedHydrocarbonsAndHalogens,subClassOf,AtmosphericCompound
SurfaceRadiation,hasChineseName,地表辐射
WaterSurfaceQuality,comment,水表面质量是指水体表面的物理和化学特性，包括水的透明度、浊度、颜色和化学成分。水表面质量的变化可以反映水质污染或自然因素的影响。
Trough,type,Class
MixedTide,subClassOf,TidalFrequencyClassification
Heatwave,hasChineseName,热浪
WindShear,subClassOf,VerticalWindMotion
SpiralRainband,comment,螺旋雨带，是指绕着热带气旋中心运动的雨云和雷暴热带气旋的结构。成熟的热带气旋都具有螺旋雨带，螺旋雨带会带来强降水。螺旋雨带是热带气旋最基本的特征之一，因此它也是从卫星云图上估计热带气旋强度的主要依据。螺旋雨带分为内外雨带，且内外雨带的结构特征、形成机制都不尽相同。内雨带通常活跃在眼壁外的快速涡丝化带中，而外雨带则活跃在3倍最大风半径外区域。
N22f3061085ea4a118a69616b7f147e7f,someValuesFrom,SolarWind
SurfaceWaveRate,subClassOf,SurfaceCharacteristics
AtmosphericStability,subClassOf,TemperatureObservation
OceanProcess,comment,海洋过程涵盖了海洋中发生的各种物理、化学和生物过程，包括海流、海水温度变化、盐度分布、海洋生物活动等。
NaturalGasHydrateLuster,subClassOf,NaturalGasHydrateAppearanceCharacteristics
PhotochemistryResearchObject,comment,光化学主要研究的对象是分子和原子在光照条件下的行为。这些对象可以是气体、液体或固体，通常包括分子中的电子和化学键。
ConvectionPotentialIndex,source,GCMDsciencekeywords_v16.0
RiverFlowType,source,《地理辞典》
GroundwaterAge,hasChineseName,地下水年龄
Freeze-ThawEffect,subClassOf,FrozenSoil
WindblownDepression,comment,风蚀洼地是在风力侵蚀作用下形成的地表低洼区域，通常由于风力将土壤吹走而形成。
VeinRock,subClassOf,TypicalMagmaticRock
LoessAction,comment,黄土作用是指在长期地质历史中，地表的黄土形成和演化的过程。它通常涉及到多种因素，包括气候、岩石类型、地形、植被、水体和人类活动等。黄土作用的结果是形成黄土层，这是由黄土颗粒在地表堆积和沉积形成的，通常有较高的粘土含量。
AlpineVegetationType,subClassOf,PaleovegetationTypes
N9eabe778966b49e197fdcaa74ea061df,type,Restriction
PrimaryWall,subClassOf,PlantCellWall
Glass,source,《地理辞典》
YttriumPhosphateOre,type,Class
MeteoriteOrigin,comment,陨石起源于太空中的小行星、彗星或其他天体，它们通常在撞击事件中被释放出来，并在地球上坠落。陨石对于研究太阳系的形成和演化提供了重要的信息。
Monogononta,type,Class
KPIndex,subClassOf,GeomagneticIndex
Monogononta,subClassOf,Rotifera
SeawaterMaterialComposition,hasChineseName,海水物质组成
N5aaa216957354726af7dad1d54ba8ce2,someValuesFrom,SubseaStratigraphicSequence
SurfaceWaterObservation,comment,地表水观测是指对地球表面的自然水体，如河流、湖泊、溪流等进行系统的测量、监测和记录，以了解它们的水文特性和行为。
TropicalSemiEvergreenBroad-LeavedForest,subClassOf,TropicalVegetationType
Woodland,type,Class
HealthIssues,comment,卫生问题包括水体卫生、土壤卫生和食品卫生等，关注环境和食品安全与健康的关系。
VisibleRadiation,source,《地理辞典》、SWEET
PlantingAfforestation,subClassOf,ArtificialAfforestationMethod
Platyhelminthes,comment,扁形动物门是动物界的一个门，是一类简单的无环节两侧对称动物，属于无脊椎动物，有三胚层，无体腔，无呼吸及循环系统，有口，但无肛门，所以必须保持身体扁平，以使氧气及养料能够透过渗透来吸收。消化腔只有一个开口，同时用于进食及排泄；所以食物在其体内无法有效处理。已记录的扁形动物约有29500种。生活于淡水、海水等潮湿处，体前端有两个可感光的色素点。体表部分或全部分布有纤毛。传统的医学文献会将扁形动物划分为非寄生的涡虫纲（例如：真涡虫科的物种）和三个会寄生的物种的纲：绦虫纲、吸虫纲及单殖纲。然而，由于涡虫纲已证实并非单系群，这种划分方式在动物学来看已经过时。非寄生的扁虫都是捕食者，栖息于水中或遮荫的陆上潮湿环境，例如落叶堆等。寄生种如绦虫和吸虫的生命周期比较复杂：牠们的成熟阶段会以寄生虫的形式居住在鱼类或陆上脊椎动物的消化系统里；而中间宿主阶段会寻找可被感染的中间宿主。吸虫的卵从最终宿主体内排出，而成年绦虫会产生大量雌雄同体的节片，在成熟后会分离，排出宿主，再释放卵。与其他寄生的类群不同，单殖纲是水生生物的体外寄生虫，其幼虫在附着于合适宿主之后，再变态为成虫。因为扁形动物没有体腔，它们曾被认为是最原始的两侧对称动物。但是，在1980年代中期以来的研究发现原来被分类为扁形动物的一个群体──无腔动物门，离最初的两侧对称动物较任何其他现代类群更近。除去无腔动物后的扁形动物门是一个单系群，即是有一个共同祖先及其所有后裔组成的。扁形动物门属于冠轮动物，是较复杂的两侧对称动物的三个进化支之一。近年来的分析显示出已重新定义、不再包含无腔动物门的扁形动物门，是由两个单系群，即小锁状目和被杆体纲所组成的；而绦虫纲、吸虫纲和单殖纲则组成了被杆体纲下的一个分支──新皮类底下的单系群，至于传统的涡虫纲物种范围则涵盖了除新皮类外的所有扁形动物。
ArtificialAfforestationMethod,comment,人工造林方式是指种植和培育人工林的方法和技术，根据不同的树种、土壤条件和目标选择不同的方式。
GravitationalPotential,comment,在古典力学中，一个位置上的重力位等于将每单位质量的物体从零位面移动到该位置所需的功（即此过程中转移给该单位质量的物体的能量）。习惯上，重力位的零位面会取在无限远处。在这种约定下，任何有限距离处的重力位都小于零。在数学上，重力位也称为牛顿位，是位能理论的基础。位能理论也可以用于解释由均匀带电或极化的椭圆体产生的静电场和静磁场。
AtmosphericCompound,hasChineseName,大气化合物
PhotosyntheticEffectiveRadiation,hasChineseName,光合有效辐射
PermafrostLayer,type,Class
CloudDistribution,hasChineseName,云分布
GroundwaterEnvironmentalProcesses,type,Class
Carnivore,altLabel,肉食类
ThermohalineCirculation,hasChineseName,温盐环流
Isotope,altLabel,同位素核种
IceSnowSpecificHeatCapacity,subClassOf,IceSnowPhysicalProperties
Cubozoa,subClassOf,Cnidaria
GlacierThickness,type,Class
DeepSeaTemperature,hasChineseName,深海温度
TectonicSubsidence,comment,构造沉降指地质过程中的一种沉降方式，通常由地壳运动引起，地壳板块的抬升或下沉导致地层的变化。
LandRecord,subClassOf,PaleoclimateIndicatorType
Ridge,comment,海脊是一种位于大洋底部的海底地貌，通常是大洋中脊的一部分，是地壳板块的界线。
CloudAltitude,subClassOf,CloudDistribution
ElectricFieldLine,hasChineseName,电场线
Vorticity,comment,涡度描述了气流旋转或曲线的程度。在大气科学中，涡度通常用于分析气旋或风暴的发展和强度。
SeaIceSalinity,type,Class
SoilProtection,comment,土壤保护是一系列措施和管理实践，旨在维护土壤的质量、生产力和可持续性，以确保其在农业、生态和环境方面的可持续利用。
FlakyStructure,type,Class
TerrestrialEcosystemEcologicalFactor,comment,陆地生态系统是一种生态系统类型，位于陆地上，通常由气候、土壤、地形、生物等生态因子相互作用而形成。
Nec743f270e5d4966ae2968bb8b889ad0,someValuesFrom,AirPressure
HighTemperature,comment,高温是指气温升高到异常高的水平，可能导致中暑和热应激等健康问题。
PlantCommunity,hasChineseName,植物群落
Drought,hasChineseName,干旱
StratiformCloud,comment,层云是云的一种，形状为层状，分部较大，属低云族，一般高度低于2000公尺。如身处于层云中，感觉即类似于雾，因此层云也被称为“高雾”。在一定条件下层云几乎能够达到地面。层云完全没有结构，它由细小的水珠组成。层云中往往会落下细雨或者细雪，但是不会下大雨。一般在风比较静的气象条件下会形成层云。在气温非常低的状况下甚至可能出现光晕。
TropicalMarineClimate,subClassOf,ClimateType
Diatomite,comment,硅藻土是一种由硅藻（又称硅藻壳、硅藻贝）的化石残骸所形成的多孔性沉积物。硅藻是一类单细胞藻类生物，它们生活在水体中，并具有硅质的外壳，因此死后的残骸富含二氧化硅（SiO2）。当这些硅藻残骸沉积并压缩在地下一段时间后，形成了硅藻土。
EcologicalStability,subClassOf,PopulationDynamics
SecondaryWall,comment,次生壁是在细胞停止生长后形成的额外细胞壁层。它通常较厚，包含更多的纤维素和木质素。次生壁提供了额外的支持和防护，尤其在木质植物的木材中非常显著。
TerrestrialIsotope,hasChineseName,陆地同位素
Airglow,hasChineseName,气辉
ThreeCircleCirculation,subClassOf,AtmosphericCirculationType
Porosity,type,Class
SedimentaryRockFormation,comment,沉积岩形成始于风化侵蚀，其中岩石在地表被风、水和化学作用磨损，然后颗粒通过搬运进入其他地点。随后，这些颗粒在堆积过程中逐渐沉积，经过时间累积并受到地下压力和水的影响，最终发生成岩作用，将这些沉积物变为坚硬的沉积岩。
WetlandConductivity,hasChineseName,湿地电导率
ReservoirEcosystem,comment,水库生态系统是指由人工筑坝截流或储水而形成的淡水水体。水库不仅用于供水、灌溉和发电等重要目的，还影响着水域生态系统。水库生态系统通常包括水库深水区域、水库岸线和周围的生态环境。水库的建设和管理需要综合考虑生态保护、水资源管理和能源利用等多个因素。
OilResources,comment,石油资源是一种液态矿物，被提炼成燃料、润滑油、化学原料等产品，用途广泛。
SoilBioclimaticZone,hasChineseName,土壤生物气候带
WindWave,type,Class
WaterVaporTransportIndex,subClassOf,WaterVapor
SoilPorosity,hasChineseName,土壤孔隙度
SubtropicalMonsoonHumidClimate,hasChineseName,亚热带季风性湿润气候
SilurianStrata,subClassOf,StratigraphicSequence
GroundwaterAnomaly,type,Class
SoilColor,type,Class
EcosystemProcess,hasChineseName,生态系统过程
EpicenterDistance,comment,震中距是指震中至某一指定点的地面距离。一般地，规模相等的地震，震中距越小，地震造成的破坏越重。反之，随着震中距的增加，地震造成的破坏逐渐减轻。由于较早年代设计的地震仪的限制，一些地震度量在观测点的震中距超过一定范围便开始出现误差。在地震学中，远震通常用°（度）作为单位，而近震则使用千米作为单位。但无论远近，都使用Δ作为符号表示震中距。
Secernentea,hasChineseName,胞管肾纲
RareEarthElement,hasChineseName,稀土元素
WindErosionColumn,hasChineseName,风蚀柱
IceAndSnowWeather,comment,冰雪天气是指气象条件下的寒冷、降雪和结冰等天气情况。
WindShear,hasChineseName,风切变
Nc5f41a2cd9cb4025bf86e8c379502c99,onProperty,hasImpactOn
AtmosphericComposition,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
Radiation,comment,辐射在物理学上指的是能量以波或是次原子粒子移动的型态，在真空或介质中传送。包含:电磁波:微波、可见光、X射线、γ射线(γ)粒子辐射:α射线（α）、β射线（β）、中子辐射声辐射:超声波、声波、地震波重力波辐射的能量会从辐射源往外向所有方向直线放射。一般依其能量的高低及电离物质的能力分类为电离辐射和非电离辐射。电离辐射所携带的能量大于10电子伏特(eV)，可以将原子或分子电离、打断化学键，非电离辐射则否。主要电离辐射来源为放射性物质，放射出α、β或γ射线，分别带有氦核、电子、正电子、光子。其他电离辐射来源有医学影像造影使用的X射线、渺子、介子、正电子、中子，以及宇宙射线与地球大气作用所产生的其他粒子。
Electron,comment,2自旋，是一种费米子，根据泡利不相容原理，任何两个电子都不能处于同样的量子态。电子的反粒子是正电子，其质量、自旋、带电量大小都与电子相同，但是电量正负性与电子相反。电子与正电子会因碰撞而互相湮灭，并在这过程中，生成一对以上的光子。由电子与中子、质子所组成的原子，是物质的基本单位。相对于中子和质子所组成的原子核，电子的质量显得极小。质子的质量大约是电子质量的1836倍。当原子的电子数与质子数不等时，则该原子会带电；称该带电原子为离子。带正电的离子叫阳离子，其电子数小于质子数；带负电的离子叫阴离子，其电子数大于质子数。若物体的电子数不等于质子数，导致正负电量不平衡时，则称该物体带静电。当正负电量平衡时，称物体的电性为电中性。静电在日常生活中有很多用途，例如，静电油漆系统能够将瓷漆或聚氨酯漆，均匀地喷洒于物品表面。电子与质子之间的库仑力能促使电子被束缚于原子内部，因此为束缚电子。两个以上的原子，会交换或分享它们的束缚电子，这是化学键的主要成因。当电子不再被束缚于原子内部，而能够自由移动于原子以外的空间时，则称此电子为自由电子。多个自由电子共同移动所产生的净流动现象称为电流。在许多物理现象里，像电传导、磁性或热传导，电子都扮演了重要角色。移动的电子会产生磁场，也会被外磁场偏转。呈加速度运动的电子会产生电磁辐射现象。根据大爆炸理论，宇宙现存的电子大部份都是生成于大爆炸事件。但也有一小部份是因为放射性物质的β衰变或高能量碰撞而生成的，例如，当宇宙线进入大气层时遇到的碰撞。在另一方面，许多电子会因为与正子相碰撞而互相湮灭，或者，会在恒星内部制造新原子核的恒星核合成过程中被吸收。在实验室里，像四极离子阱一类的精密尖端仪器，可以长时间束缚电子，以供观察和测量。大型托卡马克设施，像国际热核聚变实验反应堆，利用磁场来约束住高热电浆中的电子和离子，借以实现受控核融合。无线电望远镜可以用来侦测外太空的电子电浆。电子被广泛应用于电子束焊接、阴极射线管、电子显微镜、放射线治疗、激光和粒子加速器等领域。
Nc5f41a2cd9cb4025bf86e8c379502c99,someValuesFrom,FrontalRain
MeanSeaLevel,subClassOf,N4319721ae3e649c2ae6d807e55698bfe
MarineErosionTerrace,subClassOf,MarineErosionLandformType
ReservoirEcosystem,type,Class
RockDistribution,source,GCMDsciencekeywords_v16.0
DSTIndex,hasChineseName,DST指数
地下水潜流平均流量,hasChineseName,地下水潜流平均流量
MarineMetalMineral,source,《地球系统科学数据资源体系研究》
Sunshine,subClassOf,MarineMeteorologicalIndicator
TradeWind,source,GCMDsciencekeywords_v16.0、维基百科
TropicalVegetationType,hasChineseName,热带植被类型
ColdTemperateEvergreenConiferousForest,subClassOf,ColdTemperateVegetationType
ElectromagneticRadiation,hasChineseName,电磁辐射
IceCave,hasChineseName,冰洞
Pauropoda,altLabel,少脚纲
MagmaticRockFormationMode,type,Class
AridClimate,subClassOf,N7f08db7c01384f8bb391f89181fc257c
MinimumCenterPressure,subClassOf,TropicalCycloneObservation
VirusMorphology,type,Class
ArtificialEarthquake,hasChineseName,人工地震
Sporopollen,subClassOf,Marine/LakeSediment
TerrestrialTriassicStrata,comment,陆相三叠系地层则是在陆地环境中沉积的地层。
Infrared,type,Class
N5f43b6134edb44b9b793667dab93b454,someValuesFrom,PolarAndAlpineClimates
MarineErosionLandformType,type,Class
VegetationReconstruction,comment,植被重构指借助古代植物化石、孢粉、树轮和地层学数据，重建古代植被类型和植被演化。
SeawaterConvection,subClassOf,OceanHeatTransport
AtmosphericRadiation,comment,大气辐射是指地球大气层中的能量传输和交换，通常涉及电磁辐射的发射、吸收和传播。
NonInfectiousChronicDisease,sameAs,慢性病
ColdCurrent,type,Class
ForestSuccession,hasChineseName,森林演替
ForestEcosystem,type,Class
Forest,subClassOf,LandCoverType
SeawaterDensityDistribution,hasChineseName,海水密度分布
TidalAmplitude,hasChineseName,潮汐振幅
BiodiversityConservationArea,source,《地球系统科学数据资源体系研究》
Nad724dae0d4d4487946135800869a5b9,onProperty,hasPart
ForestMaturityAge,hasChineseName,森林成熟龄
AquaticEcosystemComposition,hasChineseName,水域生态系统组成
TemperateGrasslandZoneFauna,subClassOf,AnimalEcologicalGeographicalGroup
ChipThickness,comment,碎屑厚度指在冰川底部的碎屑层的厚度，这一层通常包含岩石碎片和沉积物。
GravitationalAction,hasChineseName,重力作用
TensionTypePlateBoundary,hasChineseName,张裂型板块边界
Spring,comment,泉是地下水天然出露至地表的地点，或者地下含水层露出地表的地点，大多位于冲积扇顶部。当含水层或含水通道被破坏露出地表时，地下水便涌出地表成泉。泉是地下水的一种重要的排泄方式。地下水虽然分布很广，但泉却不是到处都有的，而是在特定的地形、地质、水文地质条件下才可能涌出成泉。一般在山区和丘陵的沟谷中及山脚下，在平原地区比较少见。根据水流状况的不同，可以分为间歇泉和常流泉。
RiverTopography,comment,河流地形指的是河流周围的地理地形特征，包括河流的流域、河谷、山脉、平原、高地等，它们与河流的形成和发展密切相关。
DroughtSeverity,type,Class
ClasticSedimentaryRock,type,Class
EarthEllipsoid,hasChineseName,地球椭球线
PlantValue,source,维基百科
HeliumIsotope,hasChineseName,氦同位素
AtmosphericDispersion,subClassOf,AtmosphericConvectionPerformance
GrassAndMiscellaneousGrassTundra,subClassOf,AlpineVegetationType
SolarRadiationType,hasChineseName,太阳辐射类型
AtmosphericPhysics,hasChineseName,大气物理
Garden,source,《地球系统科学数据资源体系研究》、《地球系统研究与科学数据》
LimeSoil,comment,灰土是具有灰化淀积层的一类酸性土壤，形成于北方针叶林地带。灰化淀积层是灰化土独有的一个诊断层，灰化淀积层必须具有两个条件：厚度≥2.5厘米，一般位于漂白层之下；由≥85%的灰化淀积物质组成。
NoLightZone,comment,无光区是指在深海中，由于光线被吸收和衰减而几乎没有可见光的区域。这些区域通常位于深海中，远离太阳照射。
SeaWaterParticulateOrganicMatter,type,Class
MarineMetalMineral,comment,海洋中还包括一些金属矿产，如铜、锌、铅等，这些矿产可以用于工业制造。
SulfurIsotope,subClassOf,Ocean/LakeIsotope
Coal,hasChineseName,煤炭
CondensationWeather,hasChineseName,凝结天气
SubsidenceEarthquake,hasChineseName,陷落地震
GlacierTransport,type,Class
RanchProtectionForest,comment,牧场防护林用于牧场地区，可以提供牧场畜群的食物和庇护，同时减少过度放牧的影响。
MarineGeomorphology,hasChineseName,海洋地貌
FungalEcologicalRelationship,comment,真菌与其他生物之间有多种生态关系，如共生、寄生和共存。
SubmarineSedimentStructure,type,Class
PlateMovementTheoryFundamentals,hasChineseName,板块运动理论基础
LavaCone,type,Class
SoilColor,hasChineseName,土壤颜色
GeothermalSurfaceTemperature,subClassOf,GeothermalTemperature
HighTide,source,《地理辞典》
N8be63ed61b614123857d463f7ce09018,onProperty,hasPossibleCause
SubmarineDiagenesis,subClassOf,SubmarineSedimentCharacteristics
GravityGeomorphology,source,《地理辞典》、维基百科
WasteIncineration,comment,垃圾焚化是一种废物处理的方法，过程中包含焚烧废物中有机物质，以缩减废物体积。焚烧与其他高温垃圾处理系统，皆被称为“热处理”。焚化垃圾时会将垃圾转化为灰烬、废气和热力。灰烬大多由废物中的无机物质组成，通常以固体和废气中的微粒等形式呈现。废气在排放到大气中之前，需要去除其中污染气体和微粒。其余残余物则用于堆填。在某些情况，焚化垃圾所产生的热能可用于发电、供暖。焚化是其中一种将垃圾转换成能源的技术，其它如气化、热裂解和厌氧消化。可是，不是所有焚化系统都配以产生能源和材料的设备。
PyrocumulusCloud,hasChineseName,火积云
IceShelf,subClassOf,GlaciationType
SedimentaryBasin,comment,沉积盆地是沉积物堆积的地理区域，通常由地壳运动和构造活动形成，例如盆地、海底盆地等。
N54cd9417e0464888b10808127cce4443,someValuesFrom,SolarWind
MouthSandbar,subClassOf,EstuarineLandformType
HighTemperature,hasChineseName,高温
SoilPersistence,subClassOf,Nc1fa0ffdb3d14b708f1891a8ff852370
MarineEnergy,source,《地球系统科学数据资源体系研究》、《地理辞典》
SolarIrradiance,source,GCMDsciencekeywords_v16.0
EducationCultureAndScientificResearchIndustry,comment,教育文化和科学研究业包括学校、大学、研究机构、图书馆、文化机构和科研机构，推动社会的教育、文化和科学进步。
CloudTopTemperature,subClassOf,CloudTopCharacteristics
SoilProductivity,source,GCMDsciencekeywords_v16.0
SurfaceTemperatureObservation,comment,表面温度观测是在地面或海洋表面测量的温度数据，用于监测气象条件和气候变化。
EchinodermFarming,source,《地球系统科学数据资源体系研究》
N4319721ae3e649c2ae6d807e55698bfe,type,Restriction
MineralDistribution,subClassOf,Mineral
ModerateGeomagneticStorm,source,维基百科
HotSpring,hasChineseName,温泉
IceSnowReflectance,type,Class
Ne2b891342012497a83793cad8b638bdc,onProperty,hasImpactOn
LandscapeProtection,comment,景观保护是指保护、维护和管理自然景观和人文景观，以维护其生态、文化、历史和美学价值。景观保护通常包括采取合适的规划、管理和保护措施，以确保景观的可持续性和完整性。这可以包括自然保护区、文化遗产保护、城市规划、历史遗址保护等。
Airglow,altLabel,夜辉
CoastalPlain,subClassOf,N8e6db6080256495ca9b39ff40622c6c3
ConvectiveAvailableEnergy,subClassOf,StabilityWeatherIndex
Cloudy,hasChineseName,多云
Snowflake,subClassOf,IceForm
GroundwaterDischarge,type,Class
LoessAccumulation,subClassOf,LoessAction
Chromatography,comment,色谱法是一种分离和分析复杂混合物中成分的方法。在水质分析中，液相色谱法和气相色谱法通常用于检测和定量分析有机化合物、污染物和营养物质。
ArtificialEcosystem,source,《地球系统科学数据资源体系研究》
MixedReplenishment,comment,混合补给是指多种补给方式的组合。一条河流可能同时受到降雨、积雪融水、冰雪融水和地下水的影响，这些水源混合在一起形成河流的流量。
SeawaterFreezing,subClassOf,OceanVolumeBudget
WaveShape,source,GCMDsciencekeywords_v16.0
PrismaticStructure,hasChineseName,棱柱状结构
N9fd6344cbfbc4f2ea3d1e475f21ff696,type,Restriction
SeawaterColor,subClassOf,OceanOpticalProperties
CloudWaterPath,comment,云水路径是指在云中单位面积上的云水质量，通常以千克或克每平方米表示。
AnimalEcology,comment,动物生态是生态学的一个分支，研究动物与其生活环境之间的相互作用和关系。动物生态主要关注动物的行为、种群动态、栖息地利用、食物链和食物网等方面，以揭示动物在生态系统中的角色和功能。
CretaceousStrata,hasChineseName,白垩系地层
N2c0a53dd79d34dcdbf271a155be232e9,someValuesFrom,BiologicalDisturbance
FrostPeriod,source,维基百科
SeaLatentHeatFlux,type,Class
Spectrophotometry,hasChineseName,分光光度法
MorningGloryCloud,source,GCMDsciencekeywords_v16.0、《地理辞典》、维基百科
RealEstate,comment,房地产是指覆盖土地并永久附着于土地的一类实物（比如建筑物）的产权归属。随着个人财产所有权的发展，房地产已经成为商业交易的主要组成部分。购买房地产是一种重要的投资方式。
WaterVaporSupersaturation,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
ForestStock,subClassOf,TerrestrialEcosystemBiologicalIndicator
XenonGas,type,Class
SeaPotentialTemperature,type,Class
FrozenDisturbance,comment,冰冻扰动是由于土壤中的水分在冻结时膨胀，推动土壤颗粒向上移动的过程。这种现象通常在冷季节内发生，导致地表或结构物的隆起和损坏。
Snowflake,subClassOf,Snow
RiverFlowDirectionType,comment,河流流向类型指的是河流在其流经地理地区时所流向的方向，通常分为上游到下游、东流到西流等不同类型，这有助于描述河流的地理分布和水文特性。
PermafrostArea,subClassOf,FrozenSoilCharacteristics
SurfaceTemperatureType,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统科学数据资源体系研究》、《地球系统研究与科学数据》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
